message_id,channel_name,detected_class,confidence_score,image_category
10,CheMed123,,,other
11,CheMed123,clock,0.4273,other
13,CheMed123,hot dog,0.5039,other
13,CheMed123,donut,0.399,other
14,CheMed123,,,other
15,CheMed123,,,other
17,CheMed123,bottle,0.526,other
17,CheMed123,bottle,0.4945,other
17,CheMed123,bottle,0.4318,other
17,CheMed123,bottle,0.3874,other
17,CheMed123,bottle,0.385,other
17,CheMed123,bottle,0.3799,other
17,CheMed123,bottle,0.3749,other
18,CheMed123,,,other
19,CheMed123,person,0.9401,other
19,CheMed123,person,0.9277,other
19,CheMed123,dining table,0.3616,other
2,CheMed123,bottle,0.3872,other
20,CheMed123,person,0.9401,other
20,CheMed123,person,0.9277,other
20,CheMed123,dining table,0.3616,other
21,CheMed123,,,other
22,CheMed123,,,other
23,CheMed123,cell phone,0.6107,other
26,CheMed123,person,0.8276,other
26,CheMed123,cup,0.4267,other
27,CheMed123,,,other
29,CheMed123,person,0.6185,other
29,CheMed123,surfboard,0.5945,other
29,CheMed123,person,0.528,other
3,CheMed123,,,other
30,CheMed123,person,0.4139,other
31,CheMed123,bottle,0.5125,other
31,CheMed123,bottle,0.4973,other
31,CheMed123,bottle,0.435,other
31,CheMed123,bottle,0.3881,other
31,CheMed123,bottle,0.388,other
31,CheMed123,bottle,0.3832,other
31,CheMed123,bottle,0.3769,other
32,CheMed123,person,0.5882,other
33,CheMed123,orange,0.6712,other
33,CheMed123,orange,0.5761,other
34,CheMed123,,,other
38,CheMed123,,,other
39,CheMed123,mouse,0.9114,other
39,CheMed123,mouse,0.9019,other
39,CheMed123,mouse,0.893,other
39,CheMed123,mouse,0.6238,other
39,CheMed123,mouse,0.594,other
39,CheMed123,mouse,0.5547,other
39,CheMed123,mouse,0.5261,other
39,CheMed123,mouse,0.4145,other
40,CheMed123,person,0.7191,other
40,CheMed123,person,0.6744,other
40,CheMed123,person,0.6338,other
40,CheMed123,person,0.5978,other
40,CheMed123,person,0.5868,other
40,CheMed123,person,0.5126,other
40,CheMed123,person,0.4521,other
40,CheMed123,person,0.437,other
41,CheMed123,person,0.421,other
43,CheMed123,person,0.8565,other
44,CheMed123,cell phone,0.9387,other
44,CheMed123,person,0.848,other
45,CheMed123,scissors,0.632,other
46,CheMed123,person,0.8272,other
46,CheMed123,person,0.4749,other
46,CheMed123,tv,0.3886,other
48,CheMed123,,,other
49,CheMed123,kite,0.6802,other
49,CheMed123,kite,0.4033,other
50,CheMed123,,,other
52,CheMed123,person,0.7039,other
52,CheMed123,person,0.6461,other
52,CheMed123,horse,0.6253,other
52,CheMed123,person,0.5131,other
52,CheMed123,person,0.431,other
53,CheMed123,person,0.5738,other
55,CheMed123,,,other
56,CheMed123,person,0.833,other
57,CheMed123,person,0.8897,other
57,CheMed123,potted plant,0.872,other
57,CheMed123,potted plant,0.7366,other
57,CheMed123,potted plant,0.5937,other
57,CheMed123,potted plant,0.4915,other
58,CheMed123,bottle,0.4115,other
59,CheMed123,,,other
60,CheMed123,,,other
64,CheMed123,person,0.6865,other
64,CheMed123,person,0.4402,other
67,CheMed123,stop sign,0.5792,other
70,CheMed123,potted plant,0.9247,other
70,CheMed123,person,0.8443,other
70,CheMed123,book,0.4226,other
71,CheMed123,person,0.8836,other
71,CheMed123,person,0.8043,other
74,CheMed123,,,other
75,CheMed123,person,0.8353,other
76,CheMed123,person,0.8694,other
77,CheMed123,bottle,0.9558,other
77,CheMed123,bottle,0.9073,other
77,CheMed123,bottle,0.8961,other
77,CheMed123,bottle,0.8937,other
78,CheMed123,person,0.7699,other
78,CheMed123,person,0.3556,other
79,CheMed123,,,other
80,CheMed123,person,0.9279,other
80,CheMed123,bottle,0.7433,other
80,CheMed123,chair,0.5636,other
81,CheMed123,bottle,0.8818,other
81,CheMed123,bottle,0.8327,other
81,CheMed123,bottle,0.8217,other
81,CheMed123,bottle,0.8041,other
81,CheMed123,bottle,0.7617,other
82,CheMed123,bottle,0.8992,other
82,CheMed123,bottle,0.8425,other
82,CheMed123,bottle,0.7404,other
82,CheMed123,apple,0.4785,other
85,CheMed123,,,other
86,CheMed123,person,0.9013,other
86,CheMed123,refrigerator,0.357,other
87,CheMed123,,,other
88,CheMed123,,,other
9,CheMed123,bottle,0.3872,other
90,CheMed123,,,other
91,CheMed123,,,other
92,CheMed123,,,other
93,CheMed123,person,0.9077,other
94,CheMed123,cup,0.7409,other
94,CheMed123,person,0.4758,other
94,CheMed123,cup,0.3856,other
95,CheMed123,person,0.8684,other
95,CheMed123,person,0.4918,other
96,CheMed123,,,other
97,CheMed123,,,other
26245,lobelia4cosmetics,bottle,0.3844,other
26246,lobelia4cosmetics,,,other
26247,lobelia4cosmetics,,,other
26248,lobelia4cosmetics,,,other
26249,lobelia4cosmetics,refrigerator,0.4421,other
26250,lobelia4cosmetics,book,0.3516,other
26251,lobelia4cosmetics,,,other
26252,lobelia4cosmetics,bottle,0.4999,other
26253,lobelia4cosmetics,parking meter,0.3686,other
26253,lobelia4cosmetics,bottle,0.3656,other
26254,lobelia4cosmetics,bottle,0.7881,other
26254,lobelia4cosmetics,bottle,0.5554,other
26254,lobelia4cosmetics,bottle,0.3785,other
26254,lobelia4cosmetics,bottle,0.3652,other
26254,lobelia4cosmetics,bottle,0.3564,other
26255,lobelia4cosmetics,,,other
26256,lobelia4cosmetics,refrigerator,0.5083,other
26256,lobelia4cosmetics,bottle,0.4445,other
26256,lobelia4cosmetics,bottle,0.3976,other
26257,lobelia4cosmetics,bottle,0.8619,other
26258,lobelia4cosmetics,,,other
26259,lobelia4cosmetics,,,other
26260,lobelia4cosmetics,person,0.6776,other
26261,lobelia4cosmetics,,,other
26262,lobelia4cosmetics,,,other
26263,lobelia4cosmetics,orange,0.8507,other
26263,lobelia4cosmetics,orange,0.7533,other
26263,lobelia4cosmetics,bowl,0.4617,other
26263,lobelia4cosmetics,dining table,0.4286,other
26264,lobelia4cosmetics,,,other
26265,lobelia4cosmetics,cup,0.354,other
26266,lobelia4cosmetics,bottle,0.8124,other
26267,lobelia4cosmetics,bottle,0.8742,other
26268,lobelia4cosmetics,bottle,0.5591,other
26268,lobelia4cosmetics,bottle,0.5129,other
26268,lobelia4cosmetics,bottle,0.4146,other
26269,lobelia4cosmetics,bottle,0.524,other
26270,lobelia4cosmetics,bottle,0.475,other
26271,lobelia4cosmetics,person,0.7918,other
26272,lobelia4cosmetics,,,other
26273,lobelia4cosmetics,,,other
26274,lobelia4cosmetics,,,other
26275,lobelia4cosmetics,horse,0.8773,other
26276,lobelia4cosmetics,,,other
26277,lobelia4cosmetics,,,other
26278,lobelia4cosmetics,bottle,0.6695,other
26278,lobelia4cosmetics,vase,0.6104,other
26279,lobelia4cosmetics,cup,0.3924,other
26280,lobelia4cosmetics,bottle,0.475,other
26281,lobelia4cosmetics,cup,0.354,other
26282,lobelia4cosmetics,bottle,0.8124,other
26283,lobelia4cosmetics,,,other
26284,lobelia4cosmetics,,,other
26285,lobelia4cosmetics,,,other
26286,lobelia4cosmetics,,,other
26287,lobelia4cosmetics,bottle,0.7947,other
26287,lobelia4cosmetics,dining table,0.5056,other
26288,lobelia4cosmetics,bottle,0.6791,other
26288,lobelia4cosmetics,bottle,0.3951,other
26289,lobelia4cosmetics,bottle,0.7336,other
26289,lobelia4cosmetics,dining table,0.405,other
26290,lobelia4cosmetics,bottle,0.7983,other
26290,lobelia4cosmetics,bottle,0.4468,other
26290,lobelia4cosmetics,bottle,0.3669,other
26291,lobelia4cosmetics,bottle,0.8248,other
26291,lobelia4cosmetics,dining table,0.3854,other
26292,lobelia4cosmetics,,,other
26293,lobelia4cosmetics,,,other
26294,lobelia4cosmetics,bottle,0.6433,other
26294,lobelia4cosmetics,bottle,0.6279,other
26294,lobelia4cosmetics,bottle,0.4022,other
26294,lobelia4cosmetics,bottle,0.3563,other
26295,lobelia4cosmetics,bottle,0.6695,other
26295,lobelia4cosmetics,vase,0.6104,other
26296,lobelia4cosmetics,,,other
26297,lobelia4cosmetics,,,other
26298,lobelia4cosmetics,,,other
26299,lobelia4cosmetics,,,other
26300,lobelia4cosmetics,bottle,0.5097,other
26300,lobelia4cosmetics,bottle,0.5074,other
26300,lobelia4cosmetics,dining table,0.4609,other
26300,lobelia4cosmetics,bottle,0.4239,other
26300,lobelia4cosmetics,bottle,0.4207,other
26300,lobelia4cosmetics,cup,0.3684,other
26301,lobelia4cosmetics,,,other
26302,lobelia4cosmetics,,,other
26303,lobelia4cosmetics,,,other
26304,lobelia4cosmetics,,,other
26305,lobelia4cosmetics,,,other
26306,lobelia4cosmetics,bottle,0.3844,other
26307,lobelia4cosmetics,,,other
26308,lobelia4cosmetics,,,other
26309,lobelia4cosmetics,,,other
26310,lobelia4cosmetics,refrigerator,0.4421,other
26311,lobelia4cosmetics,book,0.3516,other
26312,lobelia4cosmetics,bottle,0.7881,other
26312,lobelia4cosmetics,bottle,0.5554,other
26312,lobelia4cosmetics,bottle,0.3785,other
26312,lobelia4cosmetics,bottle,0.3652,other
26312,lobelia4cosmetics,bottle,0.3564,other
26313,lobelia4cosmetics,,,other
26314,lobelia4cosmetics,,,other
26315,lobelia4cosmetics,,,other
26316,lobelia4cosmetics,bottle,0.6768,other
26317,lobelia4cosmetics,,,other
26318,lobelia4cosmetics,,,other
26319,lobelia4cosmetics,,,other
26320,lobelia4cosmetics,,,other
26321,lobelia4cosmetics,bottle,0.7189,other
26321,lobelia4cosmetics,dining table,0.4859,other
26322,lobelia4cosmetics,cup,0.354,other
26323,lobelia4cosmetics,,,other
26324,lobelia4cosmetics,cup,0.7179,other
26324,lobelia4cosmetics,cup,0.3851,other
26325,lobelia4cosmetics,bottle,0.8124,other
26326,lobelia4cosmetics,bottle,0.4823,other
26326,lobelia4cosmetics,bottle,0.4725,other
26326,lobelia4cosmetics,bottle,0.4318,other
26327,lobelia4cosmetics,bottle,0.5669,other
26327,lobelia4cosmetics,bottle,0.3779,other
26328,lobelia4cosmetics,,,other
26329,lobelia4cosmetics,,,other
26330,lobelia4cosmetics,,,other
26331,lobelia4cosmetics,person,0.6776,other
26332,lobelia4cosmetics,,,other
26333,lobelia4cosmetics,bottle,0.8742,other
26334,lobelia4cosmetics,bottle,0.5591,other
26334,lobelia4cosmetics,bottle,0.5129,other
26334,lobelia4cosmetics,bottle,0.4146,other
26335,lobelia4cosmetics,,,other
26336,lobelia4cosmetics,,,other
26337,lobelia4cosmetics,,,other
26338,lobelia4cosmetics,bottle,0.5097,other
26338,lobelia4cosmetics,bottle,0.5074,other
26338,lobelia4cosmetics,dining table,0.4609,other
26338,lobelia4cosmetics,bottle,0.4239,other
26338,lobelia4cosmetics,bottle,0.4207,other
26338,lobelia4cosmetics,cup,0.3684,other
26339,lobelia4cosmetics,,,other
26340,lobelia4cosmetics,bottle,0.5939,other
26341,lobelia4cosmetics,bottle,0.6115,other
26343,lobelia4cosmetics,bottle,0.9345,other
26343,lobelia4cosmetics,person,0.7855,other
26343,lobelia4cosmetics,person,0.6679,other
26343,lobelia4cosmetics,orange,0.4591,other
26343,lobelia4cosmetics,orange,0.3661,other
26343,lobelia4cosmetics,person,0.3541,other
26343,lobelia4cosmetics,orange,0.3525,other
26344,lobelia4cosmetics,,,other
26345,lobelia4cosmetics,person,0.8894,other
26345,lobelia4cosmetics,person,0.7644,other
26345,lobelia4cosmetics,person,0.5231,other
26346,lobelia4cosmetics,person,0.8004,other
26347,lobelia4cosmetics,bottle,0.8742,other
26348,lobelia4cosmetics,bottle,0.7407,other
26349,lobelia4cosmetics,bottle,0.8619,other
26350,lobelia4cosmetics,orange,0.8507,other
26350,lobelia4cosmetics,orange,0.7533,other
26350,lobelia4cosmetics,bowl,0.4617,other
26350,lobelia4cosmetics,dining table,0.4286,other
26351,lobelia4cosmetics,cup,0.354,other
26352,lobelia4cosmetics,bottle,0.524,other
26353,lobelia4cosmetics,,,other
26354,lobelia4cosmetics,,,other
26355,lobelia4cosmetics,,,other
26356,lobelia4cosmetics,bottle,0.6433,other
26356,lobelia4cosmetics,bottle,0.6279,other
26356,lobelia4cosmetics,bottle,0.4022,other
26356,lobelia4cosmetics,bottle,0.3563,other
26357,lobelia4cosmetics,refrigerator,0.5083,other
26357,lobelia4cosmetics,bottle,0.4445,other
26357,lobelia4cosmetics,bottle,0.3976,other
26358,lobelia4cosmetics,bottle,0.4823,other
26358,lobelia4cosmetics,bottle,0.4725,other
26358,lobelia4cosmetics,bottle,0.4318,other
26359,lobelia4cosmetics,bottle,0.5669,other
26359,lobelia4cosmetics,bottle,0.3779,other
26360,lobelia4cosmetics,bottle,0.437,other
26361,lobelia4cosmetics,bottle,0.5032,other
26362,lobelia4cosmetics,bottle,0.5096,other
26362,lobelia4cosmetics,bottle,0.3521,other
26363,lobelia4cosmetics,bottle,0.6109,other
26363,lobelia4cosmetics,bottle,0.3556,other
26364,lobelia4cosmetics,bottle,0.8619,other
26365,lobelia4cosmetics,,,other
26366,lobelia4cosmetics,,,other
26367,lobelia4cosmetics,,,other
26368,lobelia4cosmetics,,,other
26369,lobelia4cosmetics,bottle,0.5097,other
26369,lobelia4cosmetics,bottle,0.5074,other
26369,lobelia4cosmetics,dining table,0.4609,other
26369,lobelia4cosmetics,bottle,0.4239,other
26369,lobelia4cosmetics,bottle,0.4207,other
26369,lobelia4cosmetics,cup,0.3684,other
26370,lobelia4cosmetics,,,other
26371,lobelia4cosmetics,person,0.6776,other
26372,lobelia4cosmetics,,,other
26373,lobelia4cosmetics,,,other
26374,lobelia4cosmetics,cup,0.3924,other
26375,lobelia4cosmetics,bottle,0.475,other
26376,lobelia4cosmetics,cup,0.354,other
26377,lobelia4cosmetics,bottle,0.8124,other
26378,lobelia4cosmetics,,,other
26379,lobelia4cosmetics,bottle,0.6433,other
26379,lobelia4cosmetics,bottle,0.6279,other
26379,lobelia4cosmetics,bottle,0.4022,other
26379,lobelia4cosmetics,bottle,0.3563,other
26380,lobelia4cosmetics,,,other
26381,lobelia4cosmetics,,,other
26382,lobelia4cosmetics,,,other
26383,lobelia4cosmetics,,,other
26384,lobelia4cosmetics,,,other
